protName
"(+)-alpha-pinene synthase, chloroplastic"
"2-acylphloroglucinol 4-prenyltransferase, chloroplastic"
"2-aminoethanethiol dioxygenase, putative (DUF1637)"
"2-carboxy-1,4-naphthoquinone phytyltransferase, chloroplastic"
"2-isopropylmalate synthase 1, chloroplastic"
"2-isopropylmalate synthase 2, chloroplastic"
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 1, chloroplastic"
"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase 2, chloroplastic"
"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic"
"2-methylacyl-CoA dehydrogenase, mitochondrial"
"2-oxoglutarate dehydrogenase, E1 component"
"2-oxoglutarate dehydrogenase, mitochondrial"
"2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial"
"2-thiocytidine tRNA biosynthesis protein, TtcA"
"20 kDa chaperonin, chloroplastic"
"23.5 kDa heat shock protein, mitochondrial"
"23.6 kDa heat shock protein, mitochondrial"
"24.1 kDa heat shock protein, mitochondrial"
"26.2 kDa heat shock protein, mitochondrial"
"26.5 kDa heat shock protein, mitochondrial"
"26.7 kDa heat shock protein, chloroplastic"
"26S proteasome regulatory subunit, putative (RPN5)"
"28 kDa inner dynein arm light chain, axonemal"
"28 kDa ribonucleoprotein, chloroplastic"
"29 kDa ribonucleoprotein A, chloroplastic"
"29 kDa ribonucleoprotein B, chloroplastic"
"29 kDa ribonucleoprotein, chloroplastic"
"3'(2'),5'-bisphosphate nucleotidase"
"3,5,7-trioxododecanoyl-CoA synthase"
"3,5-dihydroxybiphenyl synthase"
"3,7-dimethylxanthine N-methyltransferase"
"3,9-dihydroxypterocarpan 6A-monooxygenase"
"3-dehydroquinate synthase, chloroplastic"
"3-deoxy-manno-octulosonate cytidylyltransferase, mitochondrial"
"3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase"
"3-isopropylmalate dehydrogenase 1, chloroplastic"
"3-isopropylmalate dehydrogenase 2, chloroplastic"
"3-isopropylmalate dehydrogenase, chloroplastic"
"3-ketoacyl-CoA thiolase 1, peroxisomal"
"3-ketoacyl-CoA thiolase 2, peroxisomal"
"3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial"
"3-methyl-2-oxobutanoate hydroxymethyltransferase 2, mitochondrial"
"3-oxo-Delta(4,5)-steroid 5-beta-reductase"
"3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] reductase 2, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] reductase 3, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] reductase 5, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] synthase 3 A, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] synthase 3 B, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic"
"3-oxoacyl-[acyl-carrier-protein] synthase III, chloroplastic"
"3-phosphoshikimate 1-carboxyvinyltransferase 1, chloroplastic"
"3-phosphoshikimate 1-carboxyvinyltransferase, chloroplastic"
"30 kDa ribonucleoprotein, chloroplastic"
"30S ribosomal protein 2, chloroplastic"
"30S ribosomal protein 3, chloroplastic"
"30S ribosomal protein 3-1, chloroplastic"
"30S ribosomal protein 3-2, chloroplastic"
"30S ribosomal protein S1, chloroplastic"
"30S ribosomal protein S10 beta, chloroplastic"
"30S ribosomal protein S10, chloroplastic"
"30S ribosomal protein S11, chloroplastic"
"30S ribosomal protein S11, plastid"
"30S ribosomal protein S12, chloroplastic"
"30S ribosomal protein S12-A, chloroplastic"
"30S ribosomal protein S12-B, chloroplastic"
"30S ribosomal protein S13, chloroplastic"
"30S ribosomal protein S14, chloroplastic"
"30S ribosomal protein S14, plastid"
"30S ribosomal protein S15, chloroplastic"
"30S ribosomal protein S15, plastid"
"30S ribosomal protein S16, chloroplastic"
"30S ribosomal protein S16-1, chloroplastic"
"30S ribosomal protein S16-2, chloroplastic/mitochondrial"
"30S ribosomal protein S17, chloroplastic"
"30S ribosomal protein S18, chloroplastic"
"30S ribosomal protein S19, chloroplastic"
"30S ribosomal protein S19, plastid"
"30S ribosomal protein S2, chloroplastic 1"
"30S ribosomal protein S2, chloroplastic 2"
"30S ribosomal protein S2, chloroplastic"
"30S ribosomal protein S2, plastid"
"30S ribosomal protein S20, chloroplastic"
"30S ribosomal protein S21, chloroplastic"
"30S ribosomal protein S3, chloroplastic"
"30S ribosomal protein S31, chloroplastic"
"30S ribosomal protein S31, mitochondrial"
"30S ribosomal protein S4, chloroplastic"
"30S ribosomal protein S5, chloroplastic"
"30S ribosomal protein S6 alpha, chloroplastic"
"30S ribosomal protein S6 beta, chloroplastic"
"30S ribosomal protein S7, chloroplastic"
"30S ribosomal protein S7, plastid"
"30S ribosomal protein S8, chloroplastic"
"30S ribosomal protein S8, plastid"
"30S ribosomal protein S9, chloroplastic"
"30S ribosomal protein S9, mitochondrial"
"31 kDa ribonucleoprotein, chloroplastic"
"33 kDa ribonucleoprotein, chloroplastic"
"4,5-DOPA dioxygenase extradiol 1"
"4,5-DOPA dioxygenase extradiol"
"4-alpha-glucanotransferase DPE1, chloroplastic/amyloplastic"
"4-alpha-glucanotransferase, chloroplastic/amyloplastic"
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic"
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic/chromoplastic"
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic"
"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1a, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1b, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1c, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1d, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 2, chloroplastic"
"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase, chloroplastic"
"4-hydroxy-tetrahydrodipicolinate synthase 1, chloroplastic"
"4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic"
"4-hydroxy-tetrahydrodipicolinate synthase, chloroplastic"
"4-hydroxybenzoate polyprenyltransferase, mitochondrial"
"40S ribosomal protein S10, mitochondrial"
"40S ribosomal protein S12, mitochondrial"
"40S ribosomal protein S19, mitochondrial"
"5'-adenylylsulfate reductase 1, chloroplastic"
"5'-adenylylsulfate reductase 2, chloroplastic"
"5'-adenylylsulfate reductase 3, chloroplastic"
"5,7-dihydroxy-2-methylchromone synthase"
"5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase, chloroplastic"
"5-epiaristolochene 1,3-dihydroxylase"
"50S ribosomal protein 5 beta, chloroplastic"
"50S ribosomal protein 5, chloroplastic"
"50S ribosomal protein 6, chloroplastic"
"50S ribosomal protein HLL, mitochondrial"
"50S ribosomal protein HLP, mitochondrial"
"50S ribosomal protein L1, chloroplastic"
"50S ribosomal protein L10, chloroplastic"
"50S ribosomal protein L11, chloroplastic"
"50S ribosomal protein L12, chloroplastic"
"50S ribosomal protein L12, plastid"
"50S ribosomal protein L12-1, chloroplastic"
"50S ribosomal protein L12-2, chloroplastic"
"50S ribosomal protein L12-3, chloroplastic"
"50S ribosomal protein L13, chloroplastic"
"50S ribosomal protein L14, chloroplastic"
"50S ribosomal protein L14, plastid"
"50S ribosomal protein L15, chloroplastic"
"50S ribosomal protein L16, chloroplastic"
"50S ribosomal protein L16, plastid"
"50S ribosomal protein L17, chloroplastic"
"50S ribosomal protein L18, chloroplastic"
"50S ribosomal protein L19, chloroplastic"
"50S ribosomal protein L19, plastid"
"50S ribosomal protein L19-1, chloroplastic"
"50S ribosomal protein L19-2, chloroplastic"
"50S ribosomal protein L2, chloroplastic"
"50S ribosomal protein L2, plastid"
"50S ribosomal protein L2-A, chloroplastic"
"50S ribosomal protein L2-B, chloroplastic"
"50S ribosomal protein L20, chloroplastic"
"50S ribosomal protein L20, plastid"
"50S ribosomal protein L21, chloroplastic"
"50S ribosomal protein L21, mitochondrial"
"50S ribosomal protein L22, chloroplastic"
"50S ribosomal protein L22, plastid"
"50S ribosomal protein L23, chloroplastic"
"50S ribosomal protein L23, plastid"
"50S ribosomal protein L23-A, chloroplastic"
"50S ribosomal protein L23-B, chloroplastic"
"50S ribosomal protein L24, chloroplastic"
"50S ribosomal protein L27, chloroplastic"
"50S ribosomal protein L28, chloroplastic"
"50S ribosomal protein L29, chloroplastic"
"50S ribosomal protein L3, chloroplastic"
"50S ribosomal protein L3-1, chloroplastic"
"50S ribosomal protein L3-2, chloroplastic"
"50S ribosomal protein L31, chloroplastic"
"50S ribosomal protein L32, chloroplastic"
"50S ribosomal protein L32, plastid"
"50S ribosomal protein L33, chloroplastic"
"50S ribosomal protein L33, plastid"
"50S ribosomal protein L34, chloroplastic"
"50S ribosomal protein L35, chloroplastic"
"50S ribosomal protein L36, chloroplastic"
"50S ribosomal protein L36, plastid"
"50S ribosomal protein L4, chloroplastic"
"50S ribosomal protein L5, chloroplastic"
"50S ribosomal protein L5, plastid"
"50S ribosomal protein L6, chloroplastic"
"50S ribosomal protein L9, chloroplastic"
"6,7-dimethyl-8-ribityllumazine synthase"
"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic"
"6-phosphogluconate dehydrogenase, decarboxylating 1"
"6-phosphogluconate dehydrogenase, decarboxylating 2, chloroplastic"
"60S ribosomal protein L16, mitochondrial"
"60S ribosomal protein L16-like, mitochondrial"
"60S ribosomal protein L2, mitochondrial"
"60S ribosomal protein L5, mitochondrial"
"60S ribosomal protein L6, mitochondrial"
"7-hydroxymethyl chlorophyll a reductase, chloroplastic"
"9-beta-pimara-7,15-diene oxidase"
"9-cis-epoxycarotenoid dioxygenase 1, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED4, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED5, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic"
"9-cis-epoxycarotenoid dioxygenase, chloroplastic"
"AAA-ATPase ASD, mitochondrial"
"AAA-ATPase At3g28570, mitochondrial"
"ABC family ABC transporter, putative (DUF3511)"
"ABC transporter B family member 26, chloroplastic"
"ABC transporter I family member 11, chloroplastic"
"ABC transporter I family member 6, chloroplastic"
"ACT domain-containing protein DS12, chloroplastic"
"ADP,ATP carrier protein 1, chloroplastic"
"ADP,ATP carrier protein 1, mitochondrial"
"ADP,ATP carrier protein 2, chloroplastic"
"ADP,ATP carrier protein 2, mitochondrial"
"ADP,ATP carrier protein 3, mitochondrial"
"ADP,ATP carrier protein ER-ANT1"
"ADP,ATP carrier protein"
"ADP,ATP carrier protein, mitochondrial"
"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
"ALBINO3-like protein 1, chloroplastic"
"ALBINO3-like protein 2, chloroplastic"
"ALBINO3-like protein 3, mitochondrial"
"APO protein 1, chloroplastic"
"APO protein 2, chloroplastic"
"APO protein 3, mitochondrial"
"APO protein 4, mitochondrial"
"AR781, pheromone receptor-like protein (DUF1645)"
"AT.I.24-6 protein, putative (DUF 3339)"
"ATP phosphoribosyltransferase 1, chloroplastic"
"ATP phosphoribosyltransferase 2, chloroplastic"
"ATP phosphoribosyltransferase, chloroplastic"
"ATP sulfurylase 4, chloroplastic"
"ATP synthase 27 kDa subunit, mitochondrial"
"ATP synthase 28 kDa subunit, mitochondrial"
"ATP synthase 6 kDa subunit, mitochondrial"
"ATP synthase delta chain, chloroplastic"
"ATP synthase epsilon chain, chloroplastic"
"ATP synthase epsilon chain, plastid"
"ATP synthase gamma chain, chloroplastic"
"ATP synthase subunit 9, mitochondrial"
"ATP synthase subunit C, plastid"
"ATP synthase subunit O, mitochondrial"
"ATP synthase subunit a, chloroplastic"
"ATP synthase subunit a, plastid"
"ATP synthase subunit alpha, chloroplastic"
"ATP synthase subunit alpha, mitochondrial"
"ATP synthase subunit alpha, plastid"
"ATP synthase subunit b', chloroplastic"
"ATP synthase subunit b, chloroplastic"
"ATP synthase subunit b, plastid"
"ATP synthase subunit beta, chloroplastic"
"ATP synthase subunit beta, mitochondrial"
"ATP synthase subunit beta, plastid"
"ATP synthase subunit c, chloroplastic"
"ATP synthase subunit d, mitochondrial"
"ATP synthase subunit delta', mitochondrial"
"ATP synthase subunit epsilon, mitochondrial"
"ATP synthase subunit gamma, mitochondrial"
"ATP-binding protein, putative (DUF2431)"
"ATP-dependent Clp protease ATP-binding subunit CLPT1, chloroplastic"
"ATP-dependent Clp protease ATP-binding subunit CLPT2, chloroplastic"
"ATP-dependent Clp protease ATP-binding subunit ClpA homolog CD4A, chloroplastic"
"ATP-dependent Clp protease ATP-binding subunit ClpA homolog CD4B, chloroplastic"
"ATP-dependent Clp protease ATP-binding subunit ClpA homolog, chloroplastic"
"ATP-dependent Clp protease adapter protein CLPS1, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit 2, mitochondrial"
"ATP-dependent Clp protease proteolytic subunit 3, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit 4, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit 5, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit 6, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit-related protein 2, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit-related protein 3, chloroplastic"
"ATP-dependent Clp protease proteolytic subunit-related protein 4, chloroplastic"
"ATP-dependent DNA helicase At3g02060, chloroplastic"
"ATP-dependent DNA helicase homolog RECG, chloroplastic"
"ATP-dependent RNA helicase DEAH11, chloroplastic"
"ATP-dependent RNA helicase DEAH12, chloroplastic"
"ATP-dependent RNA helicase SUV3, mitochondrial"
"ATP-dependent RNA helicase SUV3L, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 1, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 10, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 11, chloroplastic/mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 12, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 2, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 3, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 4, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 5, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 5, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 6, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 7, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 8, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 8, mitochondrial"
"ATP-dependent zinc metalloprotease FTSH 9, chloroplastic"
"ATP-dependent zinc metalloprotease FTSH 9, chloroplastic/mitochondrial"
"ATP-dependent zinc metalloprotease FTSH, chloroplastic"
"ATP-sulfurylase 3, chloroplastic"
"ATPase 5, plasma membrane-type"
"ATPase, F0/V0 complex, subunit C protein"
"ATPase, F1 complex, OSCP/delta subunit protein"
"ATPase, F1 complex, alpha subunit protein"
"ATPase, V1 complex, subunit B protein"
"Acetolactate synthase 1, chloroplastic"
"Acetolactate synthase 2, chloroplastic"
"Acetolactate synthase 3, chloroplastic"
"Acetolactate synthase small subunit 1, chloroplastic"
"Acetyl-CoA acetyltransferase, cytosolic 1"
"Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic"
"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic"
"Acetylornithine aminotransferase, mitochondrial"
"Acid beta-fructofuranosidase 1, vacuolar"
"Acid beta-fructofuranosidase 2, vacuolar"
"Aconitate hydratase 2, mitochondrial"
"Aconitate hydratase 3, mitochondrial"
"Aconitate hydratase, cytoplasmic"
"Actin cross-linking protein, putative (DUF569)"
"Acyl carrier protein 1, chloroplastic"
"Acyl carrier protein 1, mitochondrial"
"Acyl carrier protein 2, chloroplastic"
"Acyl carrier protein 2, mitochondrial"
"Acyl carrier protein 3, chloroplastic"
"Acyl carrier protein 3, mitochondrial"
"Acyl carrier protein 4, chloroplastic"
"Acyl carrier protein 5, chloroplastic"
"Acyl carrier protein SF2, chloroplastic"
"Acyl carrier protein, chloroplastic"
"Acyl-[acyl-carrier-protein] desaturase 3, chloroplastic"
"Acyl-[acyl-carrier-protein] desaturase 4, chloroplastic"
"Acyl-[acyl-carrier-protein] desaturase 6, chloroplastic"
"Acyl-[acyl-carrier-protein] desaturase 7, chloroplastic"
"Acyl-[acyl-carrier-protein] desaturase, chloroplastic"
"Acyl-acyl carrier protein thioesterase ATL1, chloroplastic"
"Acyl-acyl carrier protein thioesterase ATL2, chloroplastic"
"Acyl-coenzyme A oxidase 3, peroxisomal"
"Acyl-coenzyme A oxidase, peroxisomal"
"Acyl-lipid (7-3)-desaturase, chloroplastic"
"Acyl-lipid omega-3 desaturase (cytochrome b5), endoplasmic reticulum"
"Acyltransferase-like protein At1g54570, chloroplastic"
"Acyltransferase-like protein At3g26840, chloroplastic"
"Adenine nucleotide transporter BT1, chloroplastic/amyloplastic/mitochondrial"
"Adenine nucleotide transporter BT1, chloroplastic/mitochondrial"
"Adenine phosphoribosyltransferase 1, chloroplastic"
"Adenine phosphoribosyltransferase-like protein, putative (DUF2358)"
"Adenylate isopentenyltransferase 5, chloroplastic"
"Adenylate isopentenyltransferase 6, chloroplastic"
"Adenylate kinase, chloroplastic"
"Adenylosuccinate synthetase 1, chloroplastic"
"Adenylosuccinate synthetase 2, chloroplastic"
"Adenylosuccinate synthetase, chloroplastic"
"Adenylyl-sulfate kinase, chloroplastic"
"Alanine aminotransferase 1, mitochondrial"
"Alanine aminotransferase 2, mitochondrial"
"Alanine--tRNA ligase, chloroplastic/mitochondrial"
"Alanine-tRNA ligase, putative (DUF760)"
"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein"
"Alkaline/neutral invertase A, mitochondrial"
"Alkaline/neutral invertase C, mitochondrial"
"Alkaline/neutral invertase E, chloroplastic"
"Allene oxide cyclase, chloroplastic"
"Allene oxide synthase 1, chloroplastic"
"Allene oxide synthase 2, chloroplastic"
"Allene oxide synthase, chloroplastic"
"Allergen Ara h 1, clone P17"
"Allergen Ara h 1, clone P41B"
"Allergen, putative"
"Alpha 1,4-glycosyltransferase family protein"
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1"
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 5"
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 6"
"Alpha-(1,4)-fucosyltransferase"
"Alpha-(1,6)-fucosyltransferase"
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"Alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
"Alpha-1,4 glucan phosphorylase L isozyme, chloroplastic/amyloplastic"
"Alpha-1,4 glucan phosphorylase L-1 isozyme, chloroplastic/amyloplastic"
"Alpha-1,4 glucan phosphorylase L-2 isozyme, chloroplastic/amyloplastic"
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"Alpha-glucan phosphorylase, H isozyme"
"Alpha-glucan water dikinase, chloroplastic"
"Alpha-terpineol synthase, chloroplastic"
"Alternative NAD(P)H-ubiquinone oxidoreductase C1, chloroplastic/mitochondrial"
"Alternative oxidase 3, mitochondrial"
"Amidophosphoribosyltransferase, chloroplastic"
"Aminodeoxychorismate synthase, chloroplastic"
"Aminomethyltransferase, mitochondrial"
"Aminotransferase-like, mobile domain protein"
"Aminotransferase-like, plant mobile domain family protein"
"Amorpha-4,11-diene 12-monooxygenase"
"Amorpha-4,11-diene synthase"
"Ankyrin repeat domain-containing protein EMB506, chloroplastic"
"Ankyrin repeat domain-containing protein, chloroplastic"
"Anthocyanidin 5,3-O-glucosyltransferase"
"Anthranilate synthase alpha subunit 1, chloroplastic"
"Anthranilate synthase alpha subunit 2, chloroplastic"
"Anthranilate synthase beta subunit 1, chloroplastic"
"Anthranilate synthase beta subunit 2, chloroplastic"
"Aquaporin, putative"
"Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16"
"Arginase 1, mitochondrial"
"Arginase 2, chloroplastic/mitochondrial"
"Arginine N-methyltransferase, putative (DUF688)"
"Arginine--tRNA ligase, chloroplastic/mitochondrial"
"Arginine--tRNA ligase, cytoplasmic"
"Argininosuccinate synthase, chloroplastic"
"Arginyl-tRNA synthetase, class Ic"
"Ascorbate transporter, chloroplastic"
"AslB, putative (DUF239)"
"Asparagine synthetase, nodule [glutamine-hydrolyzing]"
"Asparagine synthetase, root [glutamine-hydrolyzing]"
"Asparagine--tRNA ligase, chloroplastic/mitochondrial"
"Asparagine--tRNA ligase, cytoplasmic 1"
"Asparagine--tRNA ligase, cytoplasmic 2"
"Asparagine--tRNA ligase, cytoplasmic 3"
"Aspartate aminotransferase 3, chloroplastic"
"Aspartate aminotransferase P2, mitochondrial"
"Aspartate aminotransferase, chloroplastic"
"Aspartate aminotransferase, cytoplasmic isozyme 1"
"Aspartate aminotransferase, cytoplasmic isozyme 2"
"Aspartate aminotransferase, cytoplasmic"
"Aspartate aminotransferase, mitochondrial"
"Aspartate carbamoyltransferase 1, chloroplastic"
"Aspartate carbamoyltransferase 2, chloroplastic"
"Aspartate carbamoyltransferase 3, chloroplastic"
"Aspartate carbamoyltransferase, chloroplastic"
"Aspartate--tRNA ligase 1, cytoplasmic"
"Aspartate--tRNA ligase 2, cytoplasmic"
"Aspartate--tRNA ligase, chloroplastic/mitochondrial"
"Aspartic proteinase NANA, chloroplast"
"Assimilatory sulfite reductase (ferredoxin), chloroplastic"
"Auxin response factor, putative (DUF688)"
"Auxin-induced protein, putative"
"B3 domain protein, putative (DUF313)"
"BAG family molecular chaperone regulator 5, mitochondrial"
"BAG family molecular chaperone regulator 8, chloroplastic"
"BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)"
"BZIP protein, putative; 48652-45869"
"BZIP transcription factor, putative (DUF1664)"
"BZIP transcription factor, putative (DUF630 and DUF632)"
"Benzoyl-CoA reductase subunit C, putative (DUF630 and DUF632)"
"Beta carbonic anhydrase 2, chloroplastic"
"Beta carbonic anhydrase 5, chloroplastic"
"Beta-1, 3-glucanase-like protein"
"Beta-1,3 glucanase"
"Beta-1,3 glucanase, putative; 26636-27432"
"Beta-1,3-N-Acetylglucosaminyltransferase family protein"
"Beta-1,3-galactosyltransferase 7"
"Beta-1,3-galactosyltransferase GALT1"
"Beta-1,3-glucanase 2"
"Beta-1,3-glucanase"
"Beta-1,3-n-acetylglucosaminyltransferase radical fringe protein, putative (DUF604)"
"Beta-1,4-N-acetylglucosaminyltransferase family protein"
"Beta-1,4-xylosidase"
"Beta-1,6-galactosyltransferase GALT29A"
"Beta-1,6-galactosyltransferase GALT31A"
"Beta-D-glucosyl crocetin beta-1,6-glucosyltransferase"
"Beta-amylase 1, chloroplastic"
"Beta-amylase 2, chloroplastic"
"Beta-carotene 3-hydroxylase, chloroplastic"
"Beta-carotene hydroxylase 1, chloroplastic"
"Beta-carotene hydroxylase 2, chloroplastic"
"Beta-carotene isomerase D27, chloroplastic"
"Beta-conglycinin, alpha chain"
